capturing trace... done
TRACE:
# tracer: nop
#
# entries-in-buffer/entries-written: 15207/15207   #P:4
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
          atrace-10118 (10118) [003] ...1  6203.263308: tracing_mark_write: trace_event_clock_sync: parent_ts=3539.973145
          atrace-10118 (10118) [003] ...1  6203.263321: tracing_mark_write: trace_event_clock_sync: realtime_ts=1321013411790
         mmcqd/1-1371  ( 1371) [000] ...1  6203.376261: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.376617: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.376687: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.376861: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.379185: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.379691: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.382784: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.383190: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.383259: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.383527: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [000] ...1  6203.385847: mmc_blk_rw_start: cmd=25,addr=0x008e29e8,size=0x00000018
          <idle>-0     (-----) [000] ..s2  6203.386385: mmc_blk_rw_end: cmd=25,addr=0x008e29e8,size=0x00000018
         mmcqd/1-1371  ( 1371) [000] ...1  6203.388705: mmc_blk_rw_start: cmd=25,addr=0x008e2a00,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.390266: mmc_blk_rw_end: cmd=25,addr=0x008e2a00,size=0x00000008
         mmcqd/1-1371  ( 1371) [001] ...1  6203.391077: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.391305: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.393630: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
