Block_Device File Inode Blocks
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/amtl_baytrail_XMM_7160_M2.cfg" 361 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/nb/libmedia.so" 1214 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libETC1.so" 1083 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/XMM7260_CONF_8.xml" 354 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libigcrs.so" 1284 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libaudioutils.so" 805 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_cellular_transmit_power_settings.tlv" 690 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libicuuc.so" 1132 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/atproxy_am.sh" 67 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_OTDOA_support_disabled.tlv" 580 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_3G_TDSCDMA_activate.tlv" 622 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libuevent.so" 1063 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libpower-subsystem.so" 1032 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/graph_settings_ov8858.xml" 318 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libETC1.so" 785 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/MECPU_NORM_5_GNSS_2.2_p.ptc" 309 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/pstore-clean.conf" 328 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/1024_multislot_off.tlv" 611 
/dev/block/mmcblk0p8 179:8 "/vendor/app/com.intel.awareness.plugin.share.one/com.intel.awareness.plugin.share.one.apk" 63 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libia_camera_bxtB0.so" 986 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libmdmcli.so" 1019 
